company_cd,department_set_cd,department_cd,user_cd,department_main,delete_flag,役職コード［＊］,delete_flag
10,10,10130101,10094004,true,false,10042,false
10,10,10130101,10091728,true,false,10070,false
10,10,10130101,10089504,true,false,10070,false
10,10,10130101,10089355,true,false,10070,false
10,10,10130101,10072006,true,false,10070,false
10,10,10130101,10070392,true,false,10070,false
10,10,10130101,10008401,true,false,10070,false
10,10,10130101,10005500,true,false,10070,false
10,10,10130101,10004502,true,false,10070,false
10,10,10130101,10005003,true,false,10070,false
10,10,10130600,10003016,true,false,10041,false
10,10,10130601,10009003,true,false,10070,false
10,10,10130601,10007007,true,false,10070,false
10,10,10130700,10083256,true,false,10041,false
10,10,10130701,10098009,true,false,10025,false
10,10,10130701,10091250,true,false,10070,false
10,10,10130701,10090806,true,false,10070,false
10,10,10130701,10089260,true,false,10042,false
10,10,10130701,10068013,true,false,10070,false
10,10,10130701,10067515,true,false,10070,false
10,10,10130701,10012029,true,false,10070,false
10,10,10130701,10012015,true,false,10070,false
10,10,10130701,10012011,true,false,10070,false
10,10,10130800,10082501,true,false,10041,false
10,10,10130801,10012030,true,false,10070,false
10,10,10130801,10001006,true,false,10070,false
10,10,10140000,10082002,true,false,10011,false
10,10,10140000,10002004,true,false,10010,false
10,10,10140100,10090006,true,false,10041,false
10,10,10140100,10089002,true,false,10041,false
10,10,10140101,10012017,true,false,10070,false
10,10,10140101,10010009,true,false,10070,false
10,10,10140101,10009303,true,false,10070,false
10,10,10140101,10008402,true,false,10070,false
10,10,10140101,10006304,true,false,10070,false
10,10,10140101,10005502,true,false,10070,false
10,10,10140101,10001007,true,false,10070,false
10,10,10140200,10090008,true,false,10041,false
10,10,10140201,10090804,true,false,10070,false
10,10,10140201,10006401,true,false,10070,false
10,10,10140201,10004306,true,false,10070,false
10,10,10146000,10085028,true,false,10010,false
10,10,10146101,10091303,true,false,10042,false
10,10,10146101,10072023,true,false,10070,false
10,10,10146101,10001301,true,false,10070,false
